concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
21600001	ALIMENTARY TRACT AND METABOLISM	Drug	ATC	ATC 1st	C	A	19700101	20991231	
21600002	STOMATOLOGICAL PREPARATIONS	Drug	ATC	ATC 2nd	C	A01	19700101	20991231	
21600003	STOMATOLOGICAL PREPARATIONS	Drug	ATC	ATC 3rd	C	A01A	19700101	20991231	
21600004	Caries prophylactic agents	Drug	ATC	ATC 4th	C	A01AA	19700101	20991231	
21600008	stannous fluoride; oral, local oral	Drug	ATC	ATC 5th	C	A01AA04	19700101	20991231	
21600011	Antiinfectives and antiseptics for local oral treatment	Drug	ATC	ATC 4th	C	A01AB	19700101	20991231	
21600012	hydrogen peroxide; local oral	Drug	ATC	ATC 5th	C	A01AB02	19700101	20991231	
21600014	amphotericin B; local oral	Drug	ATC	ATC 5th	C	A01AB04	19700101	20991231	
21600015	polynoxylin; local oral	Drug	ATC	ATC 5th	C	A01AB05	19700101	20991231	
21600016	domiphen; local oral	Drug	ATC	ATC 5th	C	A01AB06	19700101	20991231	
21600017	oxyquinoline; local oral	Drug	ATC	ATC 5th	C	A01AB07	19700101	20991231	
21600018	neomycin; local oral	Drug	ATC	ATC 5th	C	A01AB08	19700101	20991231	
21600019	miconazole; local oral	Drug	ATC	ATC 5th	C	A01AB09	19700101	20991231	
21600020	natamycin; local oral	Drug	ATC	ATC 5th	C	A01AB10	19700101	20991231	
21600022	hexetidine; local oral	Drug	ATC	ATC 5th	C	A01AB12	19700101	20991231	
21600023	tetracycline; local oral	Drug	ATC	ATC 5th	C	A01AB13	19700101	20991231	
21600024	benzoxonium chloride; local oral	Drug	ATC	ATC 5th	C	A01AB14	19700101	20991231	
21600025	tibezonium iodide; local oral	Drug	ATC	ATC 5th	C	A01AB15	19700101	20991231	
21600026	mepartricin; local oral	Drug	ATC	ATC 5th	C	A01AB16	19700101	20991231	
21600027	metronidazole; local oral	Drug	ATC	ATC 5th	C	A01AB17	19700101	20991231	
21600028	clotrimazole; local oral	Drug	ATC	ATC 5th	C	A01AB18	19700101	20991231	
21600029	sodium perborate; local oral	Drug	ATC	ATC 5th	C	A01AB19	19700101	20991231	
21600030	chlortetracycline; local oral	Drug	ATC	ATC 5th	C	A01AB21	19700101	20991231	
21600031	doxycycline; local oral	Drug	ATC	ATC 5th	C	A01AB22	19700101	20991231	
21600032	minocycline; local oral	Drug	ATC	ATC 5th	C	A01AB23	19700101	20991231	
21600033	Corticosteroids for local oral treatment	Drug	ATC	ATC 4th	C	A01AC	19700101	20991231	
21600034	triamcinolone; local oral	Drug	ATC	ATC 5th	C	A01AC01	19700101	20991231	
21600035	dexamethasone; local oral	Drug	ATC	ATC 5th	C	A01AC02	19700101	20991231	
21600036	hydrocortisone; local oral	Drug	ATC	ATC 5th	C	A01AC03	19700101	20991231	
21600037	prednisolone, combinations; local oral	Drug	ATC	ATC 5th	C	A01AC54	19700101	20991231	
21600038	Other agents for local oral treatment	Drug	ATC	ATC 4th	C	A01AD	19700101	20991231	
21600039	epinephrine; local oral	Drug	ATC	ATC 5th	C	A01AD01	19700101	20991231	
21600040	benzydamine; local oral	Drug	ATC	ATC 5th	C	A01AD02	19700101	20991231	
21600041	acetylsalicylic acid; local oral	Drug	ATC	ATC 5th	C	A01AD05	19700101	20991231	
21600042	adrenalone; local oral	Drug	ATC	ATC 5th	C	A01AD06	19700101	20991231	
21600043	amlexanox; local oral	Drug	ATC	ATC 5th	C	A01AD07	19700101	20991231	
21600044	becaplermin; local oral	Drug	ATC	ATC 5th	C	A01AD08	19700101	20991231	
21600046	DRUGS FOR ACID RELATED DISORDERS	Drug	ATC	ATC 2nd	C	A02	19700101	20991231	
21600047	ANTACIDS	Drug	ATC	ATC 3rd	C	A02A	19700101	20991231	
21600048	Magnesium compounds	Drug	ATC	ATC 4th	C	A02AA	19700101	20991231	
21600051	magnesium peroxide	Drug	ATC	ATC 5th	C	A02AA03	19700101	20991231	
21600055	Aluminium compounds	Drug	ATC	ATC 4th	C	A02AB	19700101	20991231	
21600057	algeldrate; oral	Drug	ATC	ATC 5th	C	A02AB02	19700101	20991231	
21600059	dihydroxialumini sodium carbonate; oral	Drug	ATC	ATC 5th	C	A02AB04	19700101	20991231	
21600060	aluminium acetoacetate	Drug	ATC	ATC 5th	C	A02AB05	19700101	20991231	
21600061	aloglutamol; oral	Drug	ATC	ATC 5th	C	A02AB06	19700101	20991231	
21600062	aluminium glycinate	Drug	ATC	ATC 5th	C	A02AB07	19700101	20991231	
21600063	aluminium compounds - combinations	Drug	ATC	ATC 5th	C	A02AB10	19700101	20991231	
21600064	Calcium compounds	Drug	ATC	ATC 4th	C	A02AC	19700101	20991231	
21600066	calcium silicate; oral	Drug	ATC	ATC 5th	C	A02AC02	19700101	20991231	
21600067	calcium compounds - combinations	Drug	ATC	ATC 5th	C	A02AC10	19700101	20991231	
21600068	Combinations and complexes of aluminium, calcium and magnesium compounds	Drug	ATC	ATC 4th	C	A02AD	19700101	20991231	
21600069	ordinary salt combinations	Drug	ATC	ATC 5th	C	A02AD01	19700101	20991231	
21600071	almagate; oral	Drug	ATC	ATC 5th	C	A02AD03	19700101	20991231	
21600072	hydrotalcite; oral	Drug	ATC	ATC 5th	C	A02AD04	19700101	20991231	
21600074	Antacids with antiflatulents	Drug	ATC	ATC 4th	C	A02AF	19700101	20991231	
21600077	Antacids with antispasmodics	Drug	ATC	ATC 4th	C	A02AG	19700101	20991231	
21600078	Antacids with sodium bicarbonate	Drug	ATC	ATC 4th	C	A02AH	19700101	20991231	
21600079	Antacids, other combinations	Drug	ATC	ATC 4th	C	A02AX	19700101	20991231	
21600080	DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)	Drug	ATC	ATC 3rd	C	A02B	19700101	20991231	
21600081	H2-receptor antagonists	Drug	ATC	ATC 4th	C	A02BA	19700101	20991231	
21600082	cimetidine; systemic	Drug	ATC	ATC 5th	C	A02BA01	19700101	20991231	
21600083	ranitidine; systemic	Drug	ATC	ATC 5th	C	A02BA02	19700101	20991231	
21600084	famotidine; systemic	Drug	ATC	ATC 5th	C	A02BA03	19700101	20991231	
21600085	nizatidine; systemic	Drug	ATC	ATC 5th	C	A02BA04	19700101	20991231	
21600086	niperotidine	Drug	ATC	ATC 5th	C	A02BA05	19700101	20991231	
21600087	roxatidine; oral	Drug	ATC	ATC 5th	C	A02BA06	19700101	20991231	
21600088	ranitidine bismuth citrate; oral	Drug	ATC	ATC 5th	C	A02BA07	19700101	20991231	
